"V1","V2","V3","V4","V5","V6","V7","V8","V9","N","Clicks"
4,3,3,1,5,1,2,4,2,10000,1532
4,2,3,1,5,3,2,4,2,10000,2495
3,3,3,1,5,3,2,4,2,10000,2088
4,3,3,1,5,3,2,4,2,10000,1557
5,6,3,1,5,3,2,4,2,10000,1615
4,3,3,1,5,3,2,5,2,10000,1461
4,3,3,1,5,1,2,4,4,10000,1447
4,2,3,1,5,3,2,4,4,10000,2506
4,3,3,1,5,3,2,4,4,10000,1562
5,6,3,1,5,3,2,4,4,10000,1629
4,6,2,1,5,3,2,4,4,10000,1490
4,6,3,1,5,3,2,4,4,10000,1569
4,6,2,1,5,3,2,4,5,10000,1240
4,6,3,1,5,3,2,4,5,10000,1352
4,6,3,1,5,1,2,4,2,10000,1530
4,6,1,1,5,3,2,4,2,10000,1445
4,6,2,1,5,3,2,4,2,10000,1486
4,6,3,1,5,3,2,4,2,10000,1663
4,6,3,1,5,3,2,5,2,10000,1485
4,6,3,1,5,1,2,4,4,10000,1476
4,6,1,1,5,3,2,4,4,10000,1496
4,6,3,1,5,3,2,5,4,10000,1475
